,idx,lat
422,104.20.86.184192.168.10.1244336942,20791.83
423,104.20.86.184192.168.10.1244336946,20738.86
424,104.20.86.184192.168.10.1244336948,20973.86
425,104.20.87.108192.168.10.1900,19076.00
426,104.20.87.108192.168.10.1944337490,20865.00
427,104.20.87.108192.168.10.800,19581.67
428,104.20.87.108192.168.10.844353726,20337.95
429,104.20.9.120192.168.10.1600,20007.69
430,104.20.9.120192.168.10.1644334408,20566.00
431,104.20.9.120192.168.10.1644334454,21864.50
432,104.20.9.120192.168.10.1644334460,21735.00
433,104.211.16.18192.168.10.500,20142.00
434,104.211.16.18192.168.10.544351975,20661.92
435,104.24.10.90192.168.10.1700,19507.00
436,104.24.10.90192.168.10.1744348479,20992.00
437,104.24.11.72192.168.10.1500,19578.75
438,104.24.11.72192.168.10.158055901,21281.03
439,104.24.11.90192.168.10.1700,19807.00
440,104.24.11.90192.168.10.1744345827,21200.00
441,104.24.19.65192.168.10.500,19867.50
442,104.24.19.65192.168.10.544351908,21000.67
443,104.24.246.16192.168.10.500,19543.33
444,104.24.246.16192.168.10.544349900,20485.00
445,104.24.246.16192.168.10.544349901,21122.00
446,104.244.43.112192.168.10.1500,20627.50
447,104.244.43.112192.168.10.1544354844,21098.44
448,104.244.43.144192.168.10.2544351905,20947.89
449,104.244.43.144192.168.10.258049285,20287.00
450,104.244.43.144192.168.10.900,20425.00
451,104.244.43.144192.168.10.944314487,21466.43
452,104.244.43.16192.168.10.1500,20405.50
453,104.244.43.16192.168.10.1544350785,20711.36
454,104.244.43.176192.168.10.5144350682,20885.12
455,104.244.43.176192.168.10.800,20306.00
456,104.244.43.176192.168.10.844351996,20974.29
457,104.244.43.197192.168.10.1644332832,21856.69
458,104.244.43.197192.168.10.1644332840,21821.02
459,104.244.43.48192.168.10.5144354446,21222.33
460,104.244.43.80192.168.10.1244359956,20866.78
461,104.244.43.80192.168.10.1400,19725.00
462,104.244.43.80192.168.10.1444353933,20623.83
463,104.244.43.80192.168.10.1444353934,21673.40
464,104.244.43.80192.168.10.148051423,21847.00
465,104.244.43.80192.168.10.1500,20348.00
466,104.244.43.80192.168.10.1544350977,21039.00
467,104.244.43.80192.168.10.900,18852.00
468,104.244.43.80192.168.10.98014568,21657.00
469,104.244.46.135192.168.10.900,19871.67
470,104.244.46.135192.168.10.944315104,20540.80
471,104.244.46.135192.168.10.944315105,21349.25
472,104.244.46.135192.168.10.944315107,21870.88
473,104.244.46.71192.168.10.2544349937,20833.90
474,104.25.113.17192.168.10.1500,19770.71
475,104.25.113.17192.168.10.1544352988,21127.62
476,104.25.113.17192.168.10.1544352989,21009.17
477,104.25.113.17192.168.10.1544352992,21081.00
478,104.25.113.17192.168.10.1544353013,20622.83
479,104.25.113.17192.168.10.1544353018,20820.00
480,104.25.113.17192.168.10.1544353021,20804.75
481,104.25.113.17192.168.10.1544353023,20614.50
482,104.25.14.31192.168.10.800,19909.00
483,104.25.14.31192.168.10.844352190,20805.29
484,104.25.15.31192.168.10.800,19596.50
485,104.25.15.31192.168.10.844352221,21049.57
486,104.25.15.31192.168.10.844352222,20786.00
487,104.25.15.31192.168.10.844352223,20988.43
488,104.25.207.111192.168.10.1400,19719.80
489,104.25.207.111192.168.10.1444351012,21300.86
490,104.25.207.111192.168.10.148051010,21432.27
491,104.25.207.111192.168.10.1700,20009.00
492,104.25.207.111192.168.10.1744343936,20340.27
493,104.25.208.111192.168.10.1700,19954.44
494,104.25.208.111192.168.10.178052921,21327.60
495,104.25.208.111192.168.10.178052927,21702.23
496,104.25.231.115192.168.10.2500,19321.00
497,104.25.231.115192.168.10.2544350213,21576.11
498,104.25.238.35192.168.10.1200,19916.18
499,104.25.238.35192.168.10.128039784,21628.62
500,104.25.238.35192.168.10.128039786,21296.55
501,104.25.238.35192.168.10.128039788,21837.46
502,104.25.238.35192.168.10.1400,19209.50
503,104.25.238.35192.168.10.148050536,21498.60
504,104.25.248.26192.168.10.1900,19892.83
505,104.25.248.26192.168.10.1944343361,21241.13
506,104.25.249.26192.168.10.500,19778.86
507,104.25.249.26192.168.10.544351652,20894.90
508,104.25.249.26192.168.10.544351654,21085.73
509,104.25.249.26192.168.10.544351656,21132.25
510,104.25.75.117192.168.10.1700,20070.25
511,104.25.75.117192.168.10.1744338633,20840.70
512,104.25.75.117192.168.10.1744338960,20622.57
513,104.25.83.101192.168.10.1500,19906.29
514,104.25.83.101192.168.10.158050739,20959.50
515,104.25.83.101192.168.10.158050786,20511.50
516,104.254.87.60192.168.10.800,19846.33
517,104.255.93.178192.168.10.500,19604.09
518,104.255.93.178192.168.10.58051166,21937.39
519,104.255.93.178192.168.10.58051168,21680.71
520,104.27.138.238192.168.10.1200,19175.38
521,104.27.138.238192.168.10.128038726,20675.50
522,104.27.138.238192.168.10.128039394,21027.00
523,104.27.142.149192.168.10.1700,20066.93
524,104.27.142.149192.168.10.178041923,21689.36
525,104.27.142.149192.168.10.178041926,21988.75
526,104.27.143.149192.168.10.1700,19955.80
527,104.27.143.149192.168.10.178050877,21752.45
528,104.27.144.38192.168.10.1600,19915.07
529,104.27.144.38192.168.10.168055750,21972.90
530,104.27.144.38192.168.10.168055876,21613.50
531,104.27.144.38192.168.10.900,19902.61
532,104.27.144.38192.168.10.98014971,21212.93
533,104.27.144.38192.168.10.98014973,21094.50
534,104.27.144.38192.168.10.98014987,21749.67
535,104.27.144.38192.168.10.98015124,20042.80
536,104.27.144.38192.168.10.98015125,20719.29
537,104.27.145.38192.168.10.1600,20180.00
538,104.27.145.38192.168.10.168058828,22592.00
539,104.27.145.38192.168.10.900,19991.83
540,104.27.145.38192.168.10.98015080,20312.46
541,104.27.145.38192.168.10.98015090,21616.40
542,104.27.146.180192.168.10.1500,19617.53
543,104.27.146.180192.168.10.158053414,21317.64
544,104.27.146.180192.168.10.158053453,21346.00
545,104.27.146.180192.168.10.158053454,21631.00
546,104.27.146.180192.168.10.158053608,22724.00
547,104.27.146.180192.168.10.158053679,21275.00
548,104.27.146.180192.168.10.158053680,21328.00
549,104.27.146.180192.168.10.158053719,21397.00
550,104.27.146.180192.168.10.158053726,21199.00
551,104.27.146.180192.168.10.158053727,21566.00
552,104.27.146.180192.168.10.158053767,21582.00
553,104.27.146.180192.168.10.158053777,21602.00
554,104.27.146.180192.168.10.158053799,20381.00
555,104.27.146.180192.168.10.158053808,19858.00
556,104.27.146.180192.168.10.158053827,21244.00
557,104.27.146.180192.168.10.158053898,20174.00
558,104.27.146.180192.168.10.158053989,21438.00
559,104.27.146.180192.168.10.158054005,21824.00
560,104.27.146.180192.168.10.158054082,21601.00
561,104.27.146.180192.168.10.158054115,19754.00
562,104.27.146.180192.168.10.158054116,21674.00
563,104.27.146.180192.168.10.158054171,21144.00
564,104.27.146.180192.168.10.158054182,21788.00
565,104.27.146.180192.168.10.158054206,21140.00
566,104.27.147.117192.168.10.2500,19084.62
567,104.27.147.117192.168.10.2544351666,20776.00
568,104.27.147.117192.168.10.2544351876,22848.00
569,104.28.16.90192.168.10.900,19680.83
570,104.28.16.90192.168.10.944316564,21466.80
571,104.28.16.90192.168.10.98016573,21550.35
572,104.28.22.30192.168.10.800,20025.33
573,104.28.22.30192.168.10.88050542,21479.12
574,104.28.26.91192.168.10.1600,19638.43
575,104.28.26.91192.168.10.1644334288,20642.94
576,104.28.3.206192.168.10.1200,20153.25
577,104.28.3.206192.168.10.1244351994,21521.81
578,104.31.0.161192.168.10.1700,19971.50
579,104.31.0.161192.168.10.178054950,22230.00
580,104.31.1.161192.168.10.1700,19444.09
581,104.31.1.161192.168.10.1744350491,21101.06
582,104.31.10.172192.168.10.900,19761.00
583,104.31.10.172192.168.10.944317511,20295.36
584,104.31.10.172192.168.10.944317512,20187.83
585,104.31.16.3192.168.10.2500,19401.50
586,104.31.16.3192.168.10.2544350692,22766.00
